datetime,balance,drawdown,ddpercent
2022-07-25,10000000.0,0.0,0.0
2022-07-26,10000000.0,0.0,0.0
2022-07-27,10000000.0,0.0,0.0
2022-07-28,10000000.0,0.0,0.0
2022-07-29,10000000.0,0.0,0.0
2022-08-01,10000000.0,0.0,0.0
2022-08-02,10000000.0,0.0,0.0
2022-08-03,10000000.0,0.0,0.0
2022-08-04,10000000.0,0.0,0.0
2022-08-05,10000000.0,0.0,0.0
2022-08-08,10000000.0,0.0,0.0
2022-08-09,10000000.0,0.0,0.0
2022-08-10,10000000.0,0.0,0.0
2022-08-11,10000000.0,0.0,0.0
2022-08-12,10000000.0,0.0,0.0
2022-08-15,10000000.0,0.0,0.0
2022-08-16,10000000.0,0.0,0.0
2022-08-17,10000000.0,0.0,0.0
2022-08-18,10000000.0,0.0,0.0
2022-08-19,9998251.581999999,-1748.4180000014603,-0.00017484180000014603
2022-08-22,9996571.581999999,-3428.4180000014603,-0.000342841800000146
2022-08-23,10000771.582,0.0,0.0
2022-08-24,10000771.581999999,-1.862645149230957e-09,-1.8625014419721969e-16
2022-08-25,9998251.581999999,-2520.0000000018626,-0.00025198055763392424
2022-08-26,9994471.581999999,-6300.000000001863,-0.0006299513940845312
2022-08-29,9994471.581999999,-6300.000000001863,-0.0006299513940845312
2022-08-30,9993211.581999999,-7560.000000001863,-0.0007559416729014002
2022-08-31,9989851.581999999,-10920.000000001863,-0.001091915749746384
2022-09-01,9983524.786,-17246.79600000009,-0.0017245465370933906
2022-09-02,9988781.938,-11989.644000001252,-0.0011988718972025063
2022-09-05,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-06,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-07,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-08,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-09,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-13,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-14,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-15,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-16,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-19,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-20,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-21,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-22,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-23,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-26,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-27,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-28,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-29,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-09-30,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-10-10,9988781.698,-11989.883999999613,-0.0011988958953506885
2022-10-11,9968748.898,-32022.684000000358,-0.0032020213377972496
