datetime,pnl,cost,net_pnl,pair,position_value
2022-07-22,0.0,0.0,0.0,,0.0
2022-07-25,0.0,0.0,0.0,,0.0
2022-07-26,0.0,0.0,0.0,,0.0
2022-07-27,0.0,0.0,0.0,,0.0
2022-07-28,0.0,0.0,0.0,,0.0
2022-07-29,0.0,0.0,0.0,,0.0
2022-08-01,0.0,0.0,0.0,,0.0
2022-08-02,0.0,0.0,0.0,,0.0
2022-08-03,0.0,0.0,0.0,,0.0
2022-08-04,0.0,0.0,0.0,,0.0
2022-08-05,0.0,-1974.924,-1974.924,IM2208.CFFEX / IM2209.CFFEX,20000000.0
2022-08-08,-3359.9999999995052,0.0,-3359.9999999995052,IM2208.CFFEX / IM2209.CFFEX,20000000.0
2022-08-09,4200.0,0.0,4200.0,IM2208.CFFEX / IM2209.CFFEX,20000000.0
2022-08-10,-840.0000000005093,0.0,-840.0000000005093,IM2208.CFFEX / IM2209.CFFEX,20000000.0
2022-08-11,3640.0000000004948,0.0,3640.0000000004948,IM2208.CFFEX / IM2209.CFFEX,20000000.0
2022-08-12,-5320.000000000247,0.0,-5320.000000000247,IM2208.CFFEX / IM2209.CFFEX,20000000.0
2022-08-15,-2800.0,0.0,-2800.0,IM2208.CFFEX / IM2209.CFFEX,20000000.0
2022-08-16,0.0,0.0,0.0,,0.0
2022-08-17,0.0,0.0,0.0,,0.0
2022-08-18,0.0,0.0,0.0,,0.0
2022-08-19,0.0,-1706.712,-1706.712,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-08-22,3839.9999999997817,0.0,3839.9999999997817,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-08-23,8640.000000000873,0.0,8640.000000000873,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-08-24,5039.999999999767,0.0,5039.999999999767,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-08-25,479.99999999956344,0.0,479.99999999956344,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-08-26,-1679.9999999995634,0.0,-1679.9999999995634,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-08-29,-960.0000000002183,0.0,-960.0000000002183,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-08-30,4800.0,0.0,4800.0,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-08-31,-7920.000000000466,0.0,-7920.000000000466,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-01,2400.0000000010914,0.0,2400.0000000010914,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-02,2159.999999999127,0.0,2159.999999999127,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-05,-7679.999999999563,0.0,-7679.999999999563,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-06,-479.99999999956344,0.0,-479.99999999956344,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-07,3359.999999999127,0.0,3359.999999999127,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-08,2160.0000000002183,0.0,2160.0000000002183,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-09,-12000.0,0.0,-12000.0,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-13,8879.999999999563,0.0,8879.999999999563,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-14,4320.000000000437,0.0,4320.000000000437,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-15,28079.999999999534,0.0,28079.999999999534,IM2209.CFFEX / IM2212.CFFEX,20000000.0
2022-09-16,0.0,-1771.868,-1771.868,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-19,14279.999999999738,0.0,14279.999999999738,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-20,12880.000000001019,0.0,12880.000000001019,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-21,-279.99999999974534,0.0,-279.99999999974534,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-22,-21000.0,0.0,-21000.0,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-23,-19040.000000001775,0.0,-19040.000000001775,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-26,-6719.999999998981,0.0,-6719.999999998981,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-27,3920.000000000262,0.0,3920.000000000262,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-28,-25479.999999999767,0.0,-25479.999999999767,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-29,3639.999999999236,0.0,3639.999999999236,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-09-30,-1679.999999999738,0.0,-1679.999999999738,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-10-10,12600.0,0.0,12600.0,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-10-11,3639.999999999236,0.0,3639.999999999236,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-10-12,2240.000000000524,0.0,2240.000000000524,IM2210.CFFEX / IM2212.CFFEX,20000000.0
2022-10-13,-840.0000000005239,0.0,-840.0000000005239,IM2210.CFFEX / IM2212.CFFEX,20000000.0
