datetime,balance,drawdown,ddpercent,net_pnl,return
2022-07-25,10000000.0,0.0,0.0,0.0,0.0
2022-07-26,10000000.0,0.0,0.0,0.0,0.0
2022-07-27,10000000.0,0.0,0.0,0.0,0.0
2022-07-28,10000000.0,0.0,0.0,0.0,0.0
2022-07-29,10000000.0,0.0,0.0,0.0,0.0
2022-08-01,10000000.0,0.0,0.0,0.0,0.0
2022-08-02,10000000.0,0.0,0.0,0.0,0.0
2022-08-03,10000000.0,0.0,0.0,0.0,0.0
2022-08-04,10000000.0,0.0,0.0,0.0,0.0
2022-08-05,10000000.0,0.0,0.0,0.0,0.0
2022-08-08,10000000.0,0.0,0.0,0.0,0.0
2022-08-09,10000000.0,0.0,0.0,0.0,0.0
2022-08-10,10000000.0,0.0,0.0,0.0,0.0
2022-08-11,10000000.0,0.0,0.0,0.0,0.0
2022-08-12,10000000.0,0.0,0.0,0.0,0.0
2022-08-15,10000000.0,0.0,0.0,0.0,0.0
2022-08-16,10000000.0,0.0,0.0,0.0,0.0
2022-08-17,10000000.0,0.0,0.0,0.0,0.0
2022-08-18,10000000.0,0.0,0.0,0.0,0.0
2022-08-19,9998251.581999999,-1748.4180000014603,-0.00017484180000014603,-1748.4180000019114,-0.00017484180000015836
2022-08-22,9996571.581999999,-3428.4180000014603,-0.000342841800000146,-1680.0000000003783,-0.00016802937855897593
2022-08-23,10000771.582,0.0,0.0,4200.00000000191,0.0004201440429401071
2022-08-24,10000771.581999999,-1.862645149230957e-09,-1.8625014419721969e-16,-9.313225746154785e-10,-2.220446049250313e-16
2022-08-25,9998251.581999999,-2520.0000000018626,-0.00025198055763392424,-2520.000000000582,-0.0002519805576337575
2022-08-26,9994471.581999999,-6300.000000001863,-0.0006299513940845312,-3780.000000000382,-0.0003780661017577236
2022-08-29,9994471.581999999,-6300.000000001863,-0.0006299513940845312,9.531504474580288e-10,0.0
2022-08-30,9993211.581999999,-7560.000000001863,-0.0007559416729014002,-1259.999999999809,-0.00012606969659800793
2022-08-31,9989851.581999999,-10920.000000001863,-0.001091915749746384,-3359.999999999809,-0.00033622824578760646
2022-09-01,9983524.786,-17246.79600000009,-0.0017245465370933906,-6326.795999999624,-0.0006333223219650019
2022-09-02,9988781.938,-11989.644000001252,-0.0011988718972025063,5257.152000000002,0.0005265827563598613
2022-09-05,9988781.698,-11989.883999999613,-0.0011988958953506885,-0.23999999956868123,-2.4026953426847797e-08
2022-09-06,9988781.698,-11989.883999999613,-0.0011988958953506885,0.0,0.0
2022-09-07,9988781.698,-11989.883999999613,-0.0011988958953506885,0.0,0.0
2022-09-08,9988781.698,-11989.883999999613,-0.0011988958953506885,0.0,0.0
2022-09-09,9988781.698,-11989.883999999613,-0.0011988958953506885,0.0,0.0
2022-09-13,9988781.698,-11989.883999999613,-0.0011988958953506885,0.0,0.0
2022-09-14,9988781.698,-11989.883999999613,-0.0011988958953506885,0.0,0.0
2022-09-15,9988781.698,-11989.883999999613,-0.0011988958953506885,0.0,0.0
