products,lookback,z_threshold,total_pnl,total_return,annual_return,max_dd,sharpe,calmar,win_rate,profit_days,loss_days,days,trades_count
IC,40,1.0,650297.2,0.06502971960000048,0.016899615280665404,-0.015764697487691087,1.3732218586201297,1.0719910923670086,0.5551839464882943,166,133,962,98
IC,60,1.5,325516.37,0.03255163680000073,0.00845936507276526,-0.015764697487691087,0.7936284059741393,0.5366018015486974,0.5503355704697986,164,134,962,62
IC,40,1.5,340959.32,0.034095932000000495,0.008860689189189318,-0.015126348735560015,0.766570661970126,0.5857784548070764,0.5469798657718121,163,135,962,66
IC,60,2.0,334811.02,0.03348110160000073,0.008700909979210168,-0.015126348735560015,0.7526812671779712,0.5752154820254471,0.5469798657718121,163,135,962,64
IC,60,1.0,266894.74,0.026689473600000957,0.006935933887734137,-0.015764697487691087,0.6261125965831705,0.43996618984599245,0.5083612040133779,152,147,962,70
IC,60,0.5,244628.94,0.024462894400000712,0.0063573010395012244,-0.020843239020924987,0.4613455859026297,0.3050054280488263,0.47315436241610737,141,157,962,120
IC,40,0.5,245186.5,0.024518649600001163,0.006371790436590739,-0.04233535278678022,0.44094146659947697,0.1505075549666948,0.5100671140939598,152,146,962,118
IC,20,0.5,159019.7,0.015901969599999788,0.004132528482328427,-0.02562953863358137,0.38128935959525145,0.16124084562777646,0.5050167224080268,151,148,962,114
IC,20,1.0,262175.15,0.026217515200000152,0.006813283575883615,-0.0420227620706412,0.35456022460970577,0.16213316879148337,0.5433333333333333,163,137,962,122
IC,40,2.0,110760.09,0.01107600920000018,0.0028783807692308165,-0.02514044478462183,0.27134354854773746,0.1144920383823716,0.5436241610738255,162,136,962,62
IC,20,1.5,141067.31,0.014106731200000278,0.0036659904365905086,-0.024924937048998463,0.2682904243755343,0.14708123151459737,0.5451505016722408,163,136,962,112
IC,40,2.5,104611.79,0.010461178800000415,0.002718601559251667,-0.02514044478462183,0.25650925592181417,0.10813657365818004,0.5436241610738255,162,136,962,60
IC,60,2.5,104611.79,0.010461178800000415,0.002718601559251667,-0.02514044478462183,0.25650925592181417,0.10813657365818004,0.5436241610738255,162,136,962,60
