datetime,balance,drawdown,ddpercent,net_pnl,return
2022-07-25,10000000.0,0.0,0.0,0.0,0.0
2022-07-26,10000000.0,0.0,0.0,0.0,0.0
2022-07-27,10000000.0,0.0,0.0,0.0,0.0
2022-07-28,10000000.0,0.0,0.0,0.0,0.0
2022-07-29,10000000.0,0.0,0.0,0.0,0.0
2022-08-01,10000000.0,0.0,0.0,0.0,0.0
2022-08-02,10000000.0,0.0,0.0,0.0,0.0
2022-08-03,10000000.0,0.0,0.0,0.0,0.0
2022-08-04,10000000.0,0.0,0.0,0.0,0.0
2022-08-05,10000000.0,0.0,0.0,0.0,0.0
2022-08-08,10005186.872,0.0,0.0,5186.871999999928,0.0005186872000000342
2022-08-09,10004786.872,-400.0,-3.997926326787752e-05,-400.0,-3.9979263267930776e-05
2022-08-10,10004386.872,-800.0,-7.995852653575504e-05,-400.0,-3.9980861673227786e-05
2022-08-11,10004386.872,-800.0,-7.995852653575504e-05,0.0,0.0
2022-08-12,10005506.872,0.0,0.0,1120.0000000000728,0.00011195088857807178
2022-08-15,10005346.872,-160.0,-1.5991193854231756e-05,-160.00000000021828,-1.5991193854203445e-05
2022-08-16,10005906.872,0.0,0.0,560.0000000002183,5.59700735180968e-05
2022-08-17,10006146.872,0.0,0.0,240.00000000014552,2.3985831876238706e-05
2022-08-18,10003586.872,-2560.0,-0.0002558427367445102,-2560.0000000002183,-0.00025584273674450486
2022-08-19,10003266.872,-2880.0,-0.000287823078837574,-320.00000000007276,-3.198852612518177e-05
2022-08-22,10004618.752,-1528.1199999991804,-0.00015271812612258252,1351.8800000000738,0.00013514385023394304
2022-08-23,10005898.752,-248.11999999918044,-2.4796757750327418e-05,1279.9999999999272,0.000127940907267865
2022-08-24,10006938.752,0.0,0.0,1039.9999999997817,0.00010393868914504445
2022-08-25,10007738.752,0.0,0.0,800.0,7.994452847426281e-05
2022-08-26,10007578.752,-160.0,-1.598762757151557e-05,-159.99999999985448,-1.598762757148986e-05
2022-08-29,10007978.752,0.0,0.0,400.0,3.9969707949616406e-05
2022-08-30,10009978.752,0.0,0.0,2000.0,0.0001998405521794755
2022-08-31,10005418.752,-4560.0,-0.00045554542252039336,-4560.000000000218,-0.0004555454225203537
2022-09-01,10005978.752,-4000.0,-0.00039960124782490645,560.0000000005821,5.596967142307285e-05
2022-09-02,10006138.752,-3840.0,-0.0003836171979119102,159.99999999949068,1.599043971256542e-05
2022-09-05,10003898.752,-6080.0,-0.0006073938966938579,-2239.9999999997817,-0.00022386257631623607
2022-09-06,10003978.752,-6000.0,-0.0005994018717373597,80.00000000029104,7.996882213978651e-06
2022-09-07,10004298.752,-5680.0,-0.0005674337719113672,319.99999999970896,3.1987273057421106e-05
2022-09-08,10005578.752,-4400.0,-0.00043956137260739713,1279.9999999999272,0.00012794499961765737
2022-09-09,9999578.752,-10400.0,-0.0010389632443447568,-6000.0,-0.00059966546151069
2022-09-13,9999978.752,-10000.0,-0.0009990031195622662,400.0,4.0001685063018044e-05
