vol_threshold,vol_window,stop_loss_pct,take_profit_pct,only_quarterly,roll_before_days,sharpe_ic,total_pnl_ic,max_dd_ic,sharpe_im,total_pnl_im,max_dd_im,combined_score
0.1,10,0.0,0.0,True,0,0.4116622034785349,194111.48,-0.014585796799999847,2.075239214564009,996222.13,-0.008029295820607095,2.486901418042544
0.1,10,0.0,0.0,True,5,0.4038598967883841,189629.76,-0.014585796799999847,2.1268332156449947,947416.69,-0.008885399339666861,2.530693112433379
0.1,10,0.0,0.02,True,0,0.4116622034785349,194111.48,-0.014585796799999847,2.075239214564009,996222.13,-0.008029295820607095,2.486901418042544
0.1,10,0.0,0.02,True,5,0.4038598967883841,189629.76,-0.014585796799999847,2.1268332156449947,947416.69,-0.008885399339666861,2.530693112433379
0.1,10,0.0,0.05,True,0,0.4116622034785349,194111.48,-0.014585796799999847,2.075239214564009,996222.13,-0.008029295820607095,2.486901418042544
0.1,10,0.0,0.05,True,5,0.4038598967883841,189629.76,-0.014585796799999847,2.1268332156449947,947416.69,-0.008885399339666861,2.530693112433379
0.1,10,0.01,0.0,True,0,0.4116622034785349,194111.48,-0.014585796799999847,2.075239214564009,996222.13,-0.008029295820607095,2.486901418042544
0.1,10,0.01,0.0,True,5,0.4038598967883841,189629.76,-0.014585796799999847,2.1268332156449947,947416.69,-0.008885399339666861,2.530693112433379
0.1,10,0.01,0.02,True,0,0.4116622034785349,194111.48,-0.014585796799999847,2.075239214564009,996222.13,-0.008029295820607095,2.486901418042544
0.1,10,0.01,0.02,True,5,0.4038598967883841,189629.76,-0.014585796799999847,2.1268332156449947,947416.69,-0.008885399339666861,2.530693112433379
0.1,10,0.01,0.05,True,0,0.4116622034785349,194111.48,-0.014585796799999847,2.075239214564009,996222.13,-0.008029295820607095,2.486901418042544
0.1,10,0.01,0.05,True,5,0.4038598967883841,189629.76,-0.014585796799999847,2.1268332156449947,947416.69,-0.008885399339666861,2.530693112433379
0.1,10,0.02,0.0,True,0,0.4116622034785349,194111.48,-0.014585796799999847,2.075239214564009,996222.13,-0.008029295820607095,2.486901418042544
0.1,10,0.02,0.0,True,5,0.4038598967883841,189629.76,-0.014585796799999847,2.1268332156449947,947416.69,-0.008885399339666861,2.530693112433379
0.1,10,0.02,0.02,True,0,0.4116622034785349,194111.48,-0.014585796799999847,2.075239214564009,996222.13,-0.008029295820607095,2.486901418042544
0.1,10,0.02,0.02,True,5,0.4038598967883841,189629.76,-0.014585796799999847,2.1268332156449947,947416.69,-0.008885399339666861,2.530693112433379
0.1,10,0.02,0.05,True,0,0.4116622034785349,194111.48,-0.014585796799999847,2.075239214564009,996222.13,-0.008029295820607095,2.486901418042544
0.1,10,0.02,0.05,True,5,0.4038598967883841,189629.76,-0.014585796799999847,2.1268332156449947,947416.69,-0.008885399339666861,2.530693112433379
0.1,20,0.0,0.0,True,0,0.3323857524992761,152723.22,-0.02096118188790503,2.218027931000617,1064691.4,-0.00797902594022614,2.550413683499893
0.1,20,0.0,0.0,True,5,0.265486610661107,122694.35,-0.021466666326639704,2.2816314327801943,1015885.96,-0.008829396224516966,2.5471180434413014
0.1,20,0.0,0.02,True,0,0.3323857524992761,152723.22,-0.02096118188790503,2.218027931000617,1064691.4,-0.00797902594022614,2.550413683499893
0.1,20,0.0,0.02,True,5,0.265486610661107,122694.35,-0.021466666326639704,2.2816314327801943,1015885.96,-0.008829396224516966,2.5471180434413014
0.1,20,0.0,0.05,True,0,0.3323857524992761,152723.22,-0.02096118188790503,2.218027931000617,1064691.4,-0.00797902594022614,2.550413683499893
0.1,20,0.0,0.05,True,5,0.265486610661107,122694.35,-0.021466666326639704,2.2816314327801943,1015885.96,-0.008829396224516966,2.5471180434413014
0.1,20,0.01,0.0,True,0,0.3323857524992761,152723.22,-0.02096118188790503,2.218027931000617,1064691.4,-0.00797902594022614,2.550413683499893
0.1,20,0.01,0.0,True,5,0.265486610661107,122694.35,-0.021466666326639704,2.2816314327801943,1015885.96,-0.008829396224516966,2.5471180434413014
0.1,20,0.01,0.02,True,0,0.3323857524992761,152723.22,-0.02096118188790503,2.218027931000617,1064691.4,-0.00797902594022614,2.550413683499893
0.1,20,0.01,0.02,True,5,0.265486610661107,122694.35,-0.021466666326639704,2.2816314327801943,1015885.96,-0.008829396224516966,2.5471180434413014
0.1,20,0.01,0.05,True,0,0.3323857524992761,152723.22,-0.02096118188790503,2.218027931000617,1064691.4,-0.00797902594022614,2.550413683499893
0.1,20,0.01,0.05,True,5,0.265486610661107,122694.35,-0.021466666326639704,2.2816314327801943,1015885.96,-0.008829396224516966,2.5471180434413014
0.1,20,0.02,0.0,True,0,0.3323857524992761,152723.22,-0.02096118188790503,2.218027931000617,1064691.4,-0.00797902594022614,2.550413683499893
0.1,20,0.02,0.0,True,5,0.265486610661107,122694.35,-0.021466666326639704,2.2816314327801943,1015885.96,-0.008829396224516966,2.5471180434413014
0.1,20,0.02,0.02,True,0,0.3323857524992761,152723.22,-0.02096118188790503,2.218027931000617,1064691.4,-0.00797902594022614,2.550413683499893
0.1,20,0.02,0.02,True,5,0.265486610661107,122694.35,-0.021466666326639704,2.2816314327801943,1015885.96,-0.008829396224516966,2.5471180434413014
0.1,20,0.02,0.05,True,0,0.3323857524992761,152723.22,-0.02096118188790503,2.218027931000617,1064691.4,-0.00797902594022614,2.550413683499893
0.1,20,0.02,0.05,True,5,0.265486610661107,122694.35,-0.021466666326639704,2.2816314327801943,1015885.96,-0.008829396224516966,2.5471180434413014
0.15,10,0.0,0.0,True,0,0.2716128292259932,131925.72,-0.014101234763818552,2.166176718357966,1038835.54,-0.009572166271042744,2.4377895475839595
0.15,10,0.0,0.0,True,5,0.2996592975243403,145359.06,-0.014241464276511337,2.1547683023903135,932791.73,-0.0096834628184194,2.454427599914654
0.15,10,0.0,0.0,True,10,0.06775044703606455,33925.24,-0.017386898651401656,1.8752461827454037,814202.79,-0.010788464747141912,1.9429966297814683
0.15,10,0.0,0.02,True,0,0.2716128292259932,131925.72,-0.014101234763818552,2.166176718357966,1038835.54,-0.009572166271042744,2.4377895475839595
0.15,10,0.0,0.02,True,5,0.2996592975243403,145359.06,-0.014241464276511337,2.1547683023903135,932791.73,-0.0096834628184194,2.454427599914654
0.15,10,0.0,0.02,True,10,0.06775044703606455,33925.24,-0.017386898651401656,1.8752461827454037,814202.79,-0.010788464747141912,1.9429966297814683
0.15,10,0.0,0.05,True,0,0.2716128292259932,131925.72,-0.014101234763818552,2.166176718357966,1038835.54,-0.009572166271042744,2.4377895475839595
0.15,10,0.0,0.05,True,5,0.2996592975243403,145359.06,-0.014241464276511337,2.1547683023903135,932791.73,-0.0096834628184194,2.454427599914654
0.15,10,0.0,0.05,True,10,0.06775044703606455,33925.24,-0.017386898651401656,1.8752461827454037,814202.79,-0.010788464747141912,1.9429966297814683
0.15,10,0.01,0.0,True,0,0.2716128292259932,131925.72,-0.014101234763818552,2.166176718357966,1038835.54,-0.009572166271042744,2.4377895475839595
0.15,10,0.01,0.0,True,5,0.2996592975243403,145359.06,-0.014241464276511337,2.1547683023903135,932791.73,-0.0096834628184194,2.454427599914654
0.15,10,0.01,0.0,True,10,0.06775044703606455,33925.24,-0.017386898651401656,1.8752461827454037,814202.79,-0.010788464747141912,1.9429966297814683
0.15,10,0.01,0.02,True,0,0.2716128292259932,131925.72,-0.014101234763818552,2.166176718357966,1038835.54,-0.009572166271042744,2.4377895475839595
0.15,10,0.01,0.02,True,5,0.2996592975243403,145359.06,-0.014241464276511337,2.1547683023903135,932791.73,-0.0096834628184194,2.454427599914654
0.15,10,0.01,0.02,True,10,0.06775044703606455,33925.24,-0.017386898651401656,1.8752461827454037,814202.79,-0.010788464747141912,1.9429966297814683
0.15,10,0.01,0.05,True,0,0.2716128292259932,131925.72,-0.014101234763818552,2.166176718357966,1038835.54,-0.009572166271042744,2.4377895475839595
0.15,10,0.01,0.05,True,5,0.2996592975243403,145359.06,-0.014241464276511337,2.1547683023903135,932791.73,-0.0096834628184194,2.454427599914654
0.15,10,0.01,0.05,True,10,0.06775044703606455,33925.24,-0.017386898651401656,1.8752461827454037,814202.79,-0.010788464747141912,1.9429966297814683
