name,total_pnl,total_return,annual_return,max_dd,sharpe,calmar,win_rate,profit_days,loss_days,days
IC-only optimal,196771.79,0.019677178800000306,0.005113611954262034,-0.015948222753929247,0.48035220749616697,0.3206383578384724,0.5570469798657718,166,132,962
IM-only optimal,1114012.98,0.11140129839999968,0.028950441372141287,-0.005325562284544771,2.7367772591705166,5.436128586113413,0.6402439024390244,210,118,962
