datetime,balance,drawdown,ddpercent,net_pnl,return
2020-01-03,10000000.0,0.0,0.0,0.0,0.0
2020-01-06,10000000.0,0.0,0.0,0.0,0.0
2020-01-07,10000000.0,0.0,0.0,0.0,0.0
2020-01-08,10000000.0,0.0,0.0,0.0,0.0
2020-01-09,10000000.0,0.0,0.0,0.0,0.0
2020-01-10,10000000.0,0.0,0.0,0.0,0.0
2020-01-13,10000000.0,0.0,0.0,0.0,0.0
2020-01-14,10000000.0,0.0,0.0,0.0,0.0
2020-01-15,10000000.0,0.0,0.0,0.0,0.0
2020-01-16,10000000.0,0.0,0.0,0.0,0.0
2020-01-17,10000000.0,0.0,0.0,0.0,0.0
2020-01-20,10000000.0,0.0,0.0,0.0,0.0
2020-01-21,10000000.0,0.0,0.0,0.0,0.0
2020-01-22,10000000.0,0.0,0.0,0.0,0.0
2020-01-23,10000000.0,0.0,0.0,0.0,0.0
2020-02-03,10000000.0,0.0,0.0,0.0,0.0
2020-02-04,10107078.988,0.0,0.0,107078.98800000001,0.010707898800000004
2020-02-05,10101018.988,-6060.0,-0.0005995797606009567,-6060.0,-0.0005995797606009878
2020-02-06,10101018.988,-6060.0,-0.0005995797606009567,0.0,0.0
2020-02-07,10107078.988,0.0,0.0,6060.0,0.0005999394721660778
2020-02-10,10113138.988,0.0,0.0,6060.0,0.0005995797606008768
2020-02-11,10107078.988,-6060.0,-0.0005992204801289338,-6060.0,-0.000599220480128948
2020-02-12,10101018.988,-12120.0,-0.0011984409602578676,-6060.0,-0.0005995797606009878
2020-02-13,10101018.988,-12120.0,-0.0011984409602578676,0.0,0.0
2020-02-14,10125258.988,0.0,0.0,24240.0,0.002399757888664311
2020-02-17,10179798.988,0.0,0.0,54540.0,0.005386528884311792
2020-02-18,10179798.988,0.0,0.0,0.0,0.0
2020-02-19,10179798.988,0.0,0.0,0.0,0.0
2020-02-20,10131318.988,-48480.0,-0.004762373015139933,-48480.0,-0.004762373015139931
2020-02-21,10343418.988,0.0,0.0,212100.0,0.02093508261374666
2020-02-24,10391898.988,0.0,0.0,48480.0,0.004687038208182948
2020-02-25,10391898.988,0.0,0.0,0.0,0.0
2020-02-26,10319178.988,-72720.0,-0.006997758550576089,-72720.0,-0.00699775855057605
2020-02-27,10264638.988,-127260.0,-0.012246077463508155,-54540.0,-0.005285304195558949
2020-02-28,10197978.988,-193920.0,-0.0186606894682029,-66660.0,-0.006494139743046912
2020-03-02,10307058.988,-84840.0,-0.00816405164233877,109080.0,0.010696236982676188
2020-03-03,10355538.988,-36360.0,-0.0034988792752880444,48480.0,0.004703572576468584
2020-03-04,10365543.442,-26355.54600000009,-0.0025361626426925474,10004.454,0.0009660968889781962
2020-03-05,10286589.292,-105309.69600000046,-0.01013382598518388,-78954.15,-0.0076169812457769215
2020-03-06,10385589.292,-6309.696000000462,-0.0006071744930629672,99000.0,0.009624181270364573
2020-03-09,10330589.292,-61309.69600000046,-0.005899758655352363,-55000.0,-0.005295799636749199
2020-03-10,10325089.292,-66809.69600000046,-0.006429017071581303,-5500.0,-0.000532399444459486
2020-03-11,10325089.292,-66809.69600000046,-0.006429017071581303,0.0,0.0
2020-03-12,10281089.292,-110809.69600000046,-0.01066308440141282,-44000.0,-0.004261464356932199
2020-03-13,10281089.292,-110809.69600000046,-0.01066308440141282,0.0,0.0
2020-03-16,10237089.292,-154809.69600000046,-0.014897151731244337,-44000.0,-0.004279702155124521
2020-03-17,10264589.292,-127309.69600000046,-0.012250859650099638,27500.0,0.0026863104555989725
2020-03-18,10292089.292,-99809.69600000046,-0.00960456756895494,27500.0,0.002679113524925336
2020-03-19,10418589.292,0.0,0.0,126500.0,0.012290993248409432
2020-03-20,10440589.292,0.0,0.0,22000.0,0.002111610255804308
2020-03-23,10501089.292,0.0,0.0,60500.0,0.005794692072252916
2020-03-24,10462589.292,-38500.0,-0.003666286318442249,-38500.0,-0.0036662863184422356
2020-03-25,10473589.292,-27500.0,-0.0026187759417444635,11000.0,0.0010513649817460724
2020-03-26,10380089.292,-121000.0,-0.01152261414367564,-93500.0,-0.008927216581942732
2020-03-27,10380089.292,-121000.0,-0.01152261414367564,0.0,0.0
2020-03-30,10281089.292,-220000.0,-0.020950207533955708,-99000.0,-0.009537490209867494
2020-03-31,10220589.292,-280500.0,-0.02671151460579353,-60500.0,-0.005884590463296258
2020-04-01,10286589.292,-214500.0,-0.020426452345606815,66000.0,0.006457553289188622
2020-04-02,10259089.292,-242000.0,-0.02304522828735128,-27500.0,-0.002673383686212394
2020-04-03,10319589.292,-181500.0,-0.01728392121551346,60500.0,0.0058972096136424845
2020-04-07,10396589.292,-104500.0,-0.009951348578628961,77000.0,0.007461537259015882
2020-04-08,10418589.292,-82500.0,-0.00785632782523339,22000.0,0.002116078589055048
2020-04-09,10424089.292,-77000.0,-0.007332572636884498,5500.0,0.000527902563951077
2020-04-10,10429589.292,-71500.0,-0.006808817448535605,5500.0,0.0005276240298728307
2020-04-13,10462069.986,-39019.305999999866,-0.0037157389024132744,32480.694000000003,0.0031142831314474595
2020-04-14,10449429.986,-51659.305999999866,-0.004919423553455093,-12640.0,-0.0012081739098395161
