datetime,balance,drawdown,ddpercent,net_pnl,return
2020-01-03,10000000.0,0.0,0.0,0.0,0.0
2020-01-06,10000000.0,0.0,0.0,0.0,0.0
2020-01-07,10000000.0,0.0,0.0,0.0,0.0
2020-01-08,10000000.0,0.0,0.0,0.0,0.0
2020-01-09,10000000.0,0.0,0.0,0.0,0.0
2020-01-10,10000000.0,0.0,0.0,0.0,0.0
2020-01-13,10000000.0,0.0,0.0,0.0,0.0
2020-01-14,10000000.0,0.0,0.0,0.0,0.0
2020-01-15,10000000.0,0.0,0.0,0.0,0.0
2020-01-16,10000000.0,0.0,0.0,0.0,0.0
2020-01-17,10004578.018,0.0,0.0,4578.018000000004,0.0004578017999998796
2020-01-20,9900258.018,-104320.0,-0.010427226396986454,-104320.0,-0.010427226396986455
2020-01-21,9880698.018,-123880.0,-0.012382331346421412,-19560.0,-0.0019757060840673857
2020-01-22,9962198.018,-42380.0,-0.004236060723775747,81500.0,0.008248405107769585
2020-01-23,9978498.018,-26080.0,-0.0026068065992466134,16300.0,0.0016361851039849995
2020-02-03,9962198.018,-42380.0,-0.004236060723775747,-16300.0,-0.0016335123753692393
2020-02-04,9815498.018,-189080.0,-0.018899347844537947,-146700.0,-0.014725665935864551
2020-02-05,9844838.018,-159740.0,-0.015966690420385506,29340.0,0.0029891504176553507
2020-02-06,9799198.018,-205380.0,-0.02052860196906708,-45640.0,-0.004635932040380264
2020-02-07,9802458.018,-202120.0,-0.020202751144161254,3260.0,0.000332680286081688
2020-02-10,9789418.018,-215160.0,-0.02150615444378456,-13040.0,-0.0013302785868661848
2020-02-11,9701398.018,-303180.0,-0.03030412671624188,-88020.0,-0.008991341450345192
2020-02-12,9639458.018,-365120.0,-0.03649529238945259,-61940.0,-0.0063846468194662664
2020-02-13,9606858.018,-397720.0,-0.039753800638510854,-32600.0,-0.003381932878293026
2020-02-14,9636198.018,-368380.0,-0.036821143214358414,29340.0,0.0030540682442716793
2020-02-17,9616638.018,-387940.0,-0.038776248163793374,-19560.0,-0.0020298462073384815
2020-02-18,9554698.018,-449880.0,-0.044967413837004075,-61940.0,-0.0064409204010864585
2020-02-19,9538398.018,-466180.0,-0.04659666796153321,-16300.0,-0.0017059670508992042
2020-02-20,9619898.018,-384680.0,-0.03845039733888755,81500.0,0.008544411739392688
2020-02-21,9574258.018,-430320.0,-0.04301230888756912,-45640.0,-0.004744333039144677
2020-02-24,9522098.018,-482480.0,-0.04822592208606234,-52160.0,-0.005447941751928642
2020-02-25,9492758.018,-511820.0,-0.05115857951021478,-29340.0,-0.0030812537262835393
2020-02-26,9486238.018,-518340.0,-0.051810281160026436,-6520.0,-0.00068683937667402
2020-02-27,9378658.018,-625920.0,-0.06256335838191872,-107580.0,-0.01134063891248227
2020-02-28,9404738.018,-599840.0,-0.059956551782672105,26080.0,0.0027807816374096905
2020-03-02,9323238.018,-681340.0,-0.06810282240531777,-81500.0,-0.008665844794827349
2020-03-03,9271078.018,-733500.0,-0.073316435603811,-52160.0,-0.005594622801573523
2020-03-04,9231958.018,-772620.0,-0.07722664550268092,-39120.0,-0.004219574026240291
2020-03-05,9287378.018,-717200.0,-0.07168718147928187,55420.0,0.006003060227521173
2020-03-06,9310198.018,-694380.0,-0.06940622570494108,22820.0,0.0024570982203773184
2020-03-09,9313458.018,-691120.0,-0.06908037488003525,3260.0,0.00035015366952428906
2020-03-10,9346058.018,-658520.0,-0.06582186663097699,32600.0,0.0035003110484843614
2020-03-11,9368878.018,-635700.0,-0.0635409108566362,22820.0,0.0024416711255215162
2020-03-12,9443858.018,-560720.0,-0.056046341883802184,74980.0,0.00800309277759248
2020-03-13,9518838.018,-485740.0,-0.04855177291096817,74980.0,0.007939551807861545
2020-03-16,9613378.018,-391200.0,-0.0391020989886992,94540.0,0.009931884524269297
2020-03-17,9685098.018,-319480.0,-0.03193338084077101,71720.0,0.007460436889687783
2020-03-18,9642718.018,-361860.0,-0.03616944156454676,-42380.0,-0.004375794640512187
2020-03-19,9535138.018,-469440.0,-0.046922518786439035,-107580.0,-0.011156605409302744
2020-03-20,9476458.018,-528120.0,-0.052787833634743916,-58680.0,-0.00615407977202076
2020-03-23,9499278.018,-505300.0,-0.05050687786040313,22820.0,0.0024080727162674176
2020-03-24,9597078.018,-407500.0,-0.040731353113228334,97800.0,0.010295519282063292
2020-03-25,9535138.018,-469440.0,-0.046922518786439035,-61940.0,-0.006454047772022631
2020-03-26,9551438.018,-453140.0,-0.0452932646619099,16300.0,0.0017094666033390382
2020-03-27,9626418.018,-378160.0,-0.037798695689075894,74980.0,0.007850126845685201
2020-03-30,9711178.018,-293400.0,-0.0293265742415244,84760.0,0.008804936565346644
2020-03-31,9578126.15,-426451.86799999885,-0.04262567269031605,-133051.868,-0.013700898876880085
2020-04-01,9594526.15,-410051.86799999885,-0.040986423141710054,16400.0,0.0017122347046973907
2020-04-02,9574026.15,-430551.86799999885,-0.04303548507746755,-20500.0,-0.0021366349603414436
2020-04-03,9565826.15,-438751.86799999885,-0.04385510985177055,-8200.0,-0.0008564839777464028
2020-04-07,9565826.15,-438751.86799999885,-0.04385510985177055,0.0,0.0
