datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2024-01-11,RB2410.SHFE,-257,0,257,BUY,3903.0
2024-03-13,RB2405.SHFE,0,279,279,BUY,3583.0
2024-03-13,RB2410.SHFE,0,-279,-279,SELL,3620.0
2024-04-01,RB2405.SHFE,279,0,-279,SELL,3456.0
2024-04-01,RB2410.SHFE,-279,286,565,BUY,3492.0
2024-04-01,RB2501.SHFE,0,-286,-286,SELL,3485.0
2024-05-08,RB2410.SHFE,286,0,-286,SELL,3674.0
2024-05-08,RB2501.SHFE,-286,0,286,BUY,3696.0
2024-11-27,RB2501.SHFE,0,302,302,BUY,3309.0
2024-11-27,RB2505.SHFE,0,-302,-302,SELL,3372.0
2024-12-05,RB2501.SHFE,302,0,-302,SELL,3280.0
2024-12-05,RB2505.SHFE,-302,299,601,BUY,3341.0
2024-12-05,RB2510.SHFE,0,-299,-299,SELL,3405.0
2024-12-06,RB2505.SHFE,299,0,-299,SELL,3311.0
2024-12-06,RB2510.SHFE,-299,0,299,BUY,3373.0
2025-07-22,RB2510.SHFE,0,302,302,BUY,3307.0
2025-07-22,RB2601.SHFE,0,-302,-302,SELL,3367.0
2025-08-27,RB2510.SHFE,302,0,-302,SELL,3111.0
2025-08-27,RB2601.SHFE,-302,0,302,BUY,3172.0
