datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2025-08-12,UR2601.CZCE,-275,284,559,BUY,1756.0
2025-08-12,UR2605.CZCE,0,-284,-284,SELL,1796.0
2025-09-16,UR2601.CZCE,284,0,-284,SELL,1686.0
2025-09-16,UR2605.CZCE,-284,0,284,BUY,1737.0
2025-10-09,UR2601.CZCE,0,310,310,BUY,1609.0
2025-10-09,UR2605.CZCE,0,-310,-310,SELL,1677.0
2025-10-21,UR2601.CZCE,310,0,-310,SELL,1609.0
2025-10-21,UR2605.CZCE,-310,0,310,BUY,1682.0
2025-10-22,UR2601.CZCE,0,308,308,BUY,1621.0
2025-10-22,UR2605.CZCE,0,-308,-308,SELL,1691.0
2025-11-06,UR2601.CZCE,308,0,-308,SELL,1644.0
2025-11-06,UR2605.CZCE,-308,0,308,BUY,1727.0
2025-12-17,UR2605.CZCE,0,297,297,BUY,1683.0
2025-12-17,UR2609.CZCE,0,-297,-297,SELL,1687.0
2025-12-30,UR2605.CZCE,297,0,-297,SELL,1743.0
2025-12-30,UR2609.CZCE,-297,0,297,BUY,1705.0
2026-01-05,UR2605.CZCE,0,282,282,BUY,1768.0
2026-01-05,UR2609.CZCE,0,-282,-282,SELL,1730.0
2026-01-06,UR2605.CZCE,282,0,-282,SELL,1778.0
2026-01-06,UR2609.CZCE,-282,0,282,BUY,1745.0
