datetime,product,vt_symbol,role,near,far,prev_lots,curr_lots,change
2023-08-18,IF,IF2312.CFFEX,far,IF2309.CFFEX,IF2312.CFFEX,0.0,-2.0,-2.0
2023-09-12,IC,IC2309.CFFEX,near,IC2309.CFFEX,IC2309.CFFEX,2.0,0.0,-2.0
2023-09-12,IC,IC2312.CFFEX,unknown,IC2309.CFFEX,IC2309.CFFEX,-2.0,0.0,2.0
2023-09-12,IM,IM2309.CFFEX,near,IM2309.CFFEX,IM2309.CFFEX,2.0,0.0,-2.0
2023-09-12,IM,IM2312.CFFEX,unknown,IM2309.CFFEX,IM2309.CFFEX,-2.0,0.0,2.0
2023-09-14,IC,IC2309.CFFEX,near,IC2309.CFFEX,IC2310.CFFEX,0.0,2.0,2.0
2023-09-14,IC,IC2310.CFFEX,far,IC2309.CFFEX,IC2310.CFFEX,0.0,-2.0,-2.0
2023-09-14,IF,IF2309.CFFEX,near,IF2309.CFFEX,IF2309.CFFEX,2.0,0.0,-2.0
2023-09-14,IF,IF2312.CFFEX,unknown,IF2309.CFFEX,IF2309.CFFEX,-2.0,0.0,2.0
2023-09-15,IC,IC2309.CFFEX,unknown,IC2310.CFFEX,IC2310.CFFEX,2.0,0.0,-2.0
2023-09-15,IC,IC2310.CFFEX,near,IC2310.CFFEX,IC2310.CFFEX,-2.0,0.0,2.0
2023-11-08,IC,IC2312.CFFEX,near,IC2312.CFFEX,IC2403.CFFEX,0.0,2.0,2.0
2023-11-08,IC,IC2403.CFFEX,far,IC2312.CFFEX,IC2403.CFFEX,0.0,-2.0,-2.0
2023-11-13,IM,IM2312.CFFEX,near,IM2312.CFFEX,IM2403.CFFEX,0.0,2.0,2.0
2023-11-13,IM,IM2403.CFFEX,far,IM2312.CFFEX,IM2403.CFFEX,0.0,-2.0,-2.0
2023-11-17,IF,IF2312.CFFEX,near,IF2312.CFFEX,IF2403.CFFEX,0.0,3.0,3.0
2023-11-17,IF,IF2403.CFFEX,far,IF2312.CFFEX,IF2403.CFFEX,0.0,-3.0,-3.0
2023-12-12,IM,IM2312.CFFEX,near,IM2312.CFFEX,IM2312.CFFEX,2.0,0.0,-2.0
2023-12-12,IM,IM2403.CFFEX,unknown,IM2312.CFFEX,IM2312.CFFEX,-2.0,0.0,2.0
2023-12-13,IC,IC2312.CFFEX,near,IC2312.CFFEX,IC2312.CFFEX,2.0,0.0,-2.0
2023-12-13,IC,IC2403.CFFEX,unknown,IC2312.CFFEX,IC2312.CFFEX,-2.0,0.0,2.0
2023-12-14,IF,IF2312.CFFEX,near,IF2312.CFFEX,IF2312.CFFEX,3.0,0.0,-3.0
2023-12-14,IF,IF2403.CFFEX,unknown,IF2312.CFFEX,IF2312.CFFEX,-3.0,0.0,3.0
2023-12-18,IC,IC2401.CFFEX,near,IC2401.CFFEX,IC2403.CFFEX,0.0,3.0,3.0
2023-12-18,IC,IC2403.CFFEX,far,IC2401.CFFEX,IC2403.CFFEX,0.0,-3.0,-3.0
2023-12-18,IF,IF2401.CFFEX,near,IF2401.CFFEX,IF2403.CFFEX,0.0,3.0,3.0
2023-12-18,IF,IF2403.CFFEX,far,IF2401.CFFEX,IF2403.CFFEX,0.0,-3.0,-3.0
2023-12-19,IC,IC2401.CFFEX,near,IC2401.CFFEX,IC2401.CFFEX,3.0,0.0,-3.0
2023-12-19,IC,IC2403.CFFEX,unknown,IC2401.CFFEX,IC2401.CFFEX,-3.0,0.0,3.0
2023-12-20,IC,IC2401.CFFEX,near,IC2401.CFFEX,IC2403.CFFEX,0.0,3.0,3.0
2023-12-20,IC,IC2403.CFFEX,far,IC2401.CFFEX,IC2403.CFFEX,0.0,-3.0,-3.0
2023-12-21,IC,IC2401.CFFEX,near,IC2401.CFFEX,IC2401.CFFEX,3.0,0.0,-3.0
2023-12-21,IC,IC2403.CFFEX,unknown,IC2401.CFFEX,IC2401.CFFEX,-3.0,0.0,3.0
2023-12-22,IC,IC2401.CFFEX,near,IC2401.CFFEX,IC2403.CFFEX,0.0,3.0,3.0
2023-12-22,IC,IC2403.CFFEX,far,IC2401.CFFEX,IC2403.CFFEX,0.0,-3.0,-3.0
2023-12-28,IC,IC2401.CFFEX,near,IC2401.CFFEX,IC2401.CFFEX,3.0,0.0,-3.0
2023-12-28,IC,IC2403.CFFEX,unknown,IC2401.CFFEX,IC2401.CFFEX,-3.0,0.0,3.0
2023-12-29,IC,IC2401.CFFEX,near,IC2401.CFFEX,IC2403.CFFEX,0.0,3.0,3.0
2023-12-29,IC,IC2403.CFFEX,far,IC2401.CFFEX,IC2403.CFFEX,0.0,-3.0,-3.0
2024-01-02,IC,IC2401.CFFEX,near,IC2401.CFFEX,IC2401.CFFEX,3.0,0.0,-3.0
2024-01-02,IC,IC2403.CFFEX,unknown,IC2401.CFFEX,IC2401.CFFEX,-3.0,0.0,3.0
2024-01-03,IF,IF2401.CFFEX,near,IF2401.CFFEX,IF2401.CFFEX,3.0,0.0,-3.0
2024-01-03,IF,IF2403.CFFEX,unknown,IF2401.CFFEX,IF2401.CFFEX,-3.0,0.0,3.0
2024-02-01,IC,IC2403.CFFEX,near,IC2403.CFFEX,IC2406.CFFEX,0.0,3.0,3.0
2024-02-01,IC,IC2406.CFFEX,far,IC2403.CFFEX,IC2406.CFFEX,0.0,-3.0,-3.0
2024-02-02,IF,IF2403.CFFEX,near,IF2403.CFFEX,IF2406.CFFEX,0.0,3.0,3.0
2024-02-02,IF,IF2406.CFFEX,far,IF2403.CFFEX,IF2406.CFFEX,0.0,-3.0,-3.0
