date,near,far,near_lots,far_lots,near_px,far_px,spread_pct,vol20,daily_pnl,cum_pnl,equity,spread_percentile,carry_annual
2026-07-20,IM2609.CFFEX,IM2612.CFFEX,2,-2,6849.8,6650.6,0.0290811410552132,0.3274289996825532,0.0,0.0,5000000.0,,
2026-07-21,IM2609.CFFEX,IM2612.CFFEX,2,-2,7164.4,6971.4,0.026938752721791,0.3806967106309135,-2479.9999999999272,-2479.9999999999272,4997520.0,,
2026-07-22,IM2609.CFFEX,IM2612.CFFEX,2,-2,7028.8,6828.0,0.0285681766446619,0.3771326816890045,3120.0000000000728,640.0000000001455,5000640.0,,
2026-07-23,IM2609.CFFEX,IM2612.CFFEX,2,-2,7071.6,6876.4,0.0276033712314045,0.37694721478226,-2239.9999999997817,-1599.9999999996362,4998400.0,,
2026-07-24,IM2609.CFFEX,IM2612.CFFEX,2,-2,6880.2,6685.0,0.0283712682770849,0.3792837436811844,-3.637978807091712e-10,-1600.0,4998400.0,,
2026-07-27,IM2609.CFFEX,IM2612.CFFEX,2,-2,7148.8,6951.0,0.0276689794091316,0.4135691479217383,1040.0000000001455,-559.9999999998545,4999440.0,,
2026-07-28,IM2609.CFFEX,IM2612.CFFEX,2,-2,6943.2,6754.6,0.0271632676575641,0.403896394357978,-3680.000000000291,-4240.0000000001455,4995760.0,,
2026-07-29,IM2609.CFFEX,IM2612.CFFEX,4,-4,7047.2,6883.0,0.0233000340560789,0.4095114261352622,-19519.99999999971,-28000.0,7472000.0,0.276,0.0934561805546025
2026-07-30,IM2609.CFFEX,IM2612.CFFEX,4,-4,6845.2,6690.0,0.0226728218313562,0.4139119654935473,-7200.0,-35200.0,7464800.0,0.248,0.0909404392136816
2026-07-31,IM2609.CFFEX,IM2612.CFFEX,4,-4,6987.8,6830.6,0.0224963507827928,0.4287831010060239,1600.0,-33600.0,7466400.0,0.244,0.0902326157771361
2026-08-03,IM2609.CFFEX,IM2612.CFFEX,4,-4,7023.4,6866.2,0.0223823219523307,0.4291735037890566,0.0,-33600.0,7466400.0,0.24,0.0897752473912167
2026-08-04,IM2609.CFFEX,IM2612.CFFEX,4,-4,7211.4,7048.8,0.0225476329145518,0.4445257075213305,4319.999999999709,-29280.00000000029,7470720.0,0.256,0.0904383078440817
2026-08-05,IM2609.CFFEX,IM2612.CFFEX,8,-8,7433.8,7269.0,0.0221690118109177,0.459807828796894,3520.000000001164,-55039.99999999942,14944960.0,0.24,0.0889196627580766
