datetime,IM.CFFEX
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-08,9509.191999999748
2022-08-09,13709.191999999748
2022-08-10,12869.191999999239
2022-08-11,16509.191999999734
2022-08-12,11189.191999999486
2022-08-15,8389.191999999486
2022-08-16,5309.191999999748
2022-08-17,5227.347999999239
2022-08-18,5227.347999999239
2022-08-19,5227.347999999239
2022-08-22,-317.012000001635
2022-08-23,8322.987999999237
2022-08-24,13362.987999999004
2022-08-25,13842.987999998568
2022-08-26,12162.987999999004
2022-08-29,11202.987999998786
2022-08-30,16002.987999998786
2022-08-31,8082.98799999832
2022-09-01,10482.987999999412
2022-09-02,12642.987999998539
2022-09-05,4962.987999998975
2022-09-06,4482.987999999412
2022-09-07,7842.987999998539
2022-09-08,10002.987999998757
2022-09-09,-1997.012000001243
2022-09-13,6882.98799999832
2022-09-14,11202.987999998757
2022-09-15,39282.987999998295
2022-09-16,123282.9879999983
2022-09-19,151265.26399999775
2022-09-20,164145.26399999877
2022-09-21,163865.26399999904
2022-09-22,142865.26399999904
2022-09-23,123825.26399999726
2022-09-26,117105.26399999828
2022-09-27,121025.26399999854
2022-09-28,95545.26399999877
2022-09-29,99185.26399999802
2022-09-30,97505.26399999828
2022-10-10,110105.26399999828
2022-10-11,113745.26399999752
2022-10-12,115985.26399999805
2022-10-13,115145.26399999752
2022-10-14,110665.26399999778
2022-10-17,105345.2639999988
2022-10-18,125225.26399999854
2022-10-19,121865.26399999778
2022-10-20,116997.01599999804
2022-10-21,116997.01599999804
2022-10-24,116997.01599999804
2022-10-25,92269.79599999855
2022-10-26,84989.79599999881
2022-10-27,78549.7959999983
2022-10-28,71549.7959999983
2022-10-31,86669.79599999855
2022-11-01,86949.79599999828
2022-11-02,76589.79599999753
2022-11-03,78829.79599999804
2022-11-04,76869.79599999853
2022-11-07,70709.79599999776
2022-11-08,72669.79599999852
2022-11-09,58669.79599999852
2022-11-10,63149.795999998256
2022-11-11,56149.795999998256
2022-11-14,86488.04799999826
2022-11-15,80723.267999998
2022-11-16,78555.28399999825
2022-11-17,64377.819999998
2022-11-18,52897.819999998246
2022-11-21,49537.819999998756
2022-11-22,73897.81999999823
2022-11-23,73057.81999999772
2022-11-24,82297.81999999823
2022-11-25,79777.81999999798
2022-11-28,83697.81999999823
2022-11-29,72217.8199999985
2022-11-30,85657.819999999
2022-12-01,72497.81999999823
2022-12-02,70537.81999999874
2022-12-05,78657.81999999772
2022-12-06,85657.81999999899
2022-12-07,84537.81999999746
2022-12-08,92937.81999999873
2022-12-09,101897.81999999822
2022-12-12,142045.89999999822
2022-12-13,142045.89999999822
2022-12-14,142045.89999999822
2022-12-15,142045.89999999822
2022-12-16,142045.89999999822
2022-12-19,142045.89999999822
2022-12-20,142045.89999999822
2022-12-21,142045.89999999822
2022-12-22,142045.89999999822
2022-12-23,142045.89999999822
2022-12-26,142045.89999999822
2022-12-27,154564.44799999797
2022-12-28,117519.49599999821
2022-12-29,117519.49599999821
2022-12-30,117519.49599999821
2023-01-03,117519.49599999821
2023-01-04,117969.42799999745
2023-01-05,122169.42799999745
2023-01-06,116289.42799999772
2023-01-09,101870.65999999772
2023-01-10,83252.47999999771
2023-01-11,91230.2399999977
2023-01-12,91230.2399999977
2023-01-13,91230.2399999977
2023-01-16,91230.2399999977
2023-01-17,91230.2399999977
2023-01-18,91230.2399999977
2023-01-19,91230.2399999977
2023-01-20,91230.2399999977
2023-01-30,91230.2399999977
2023-01-31,91230.2399999977
2023-02-01,91230.2399999977
2023-02-02,91230.2399999977
2023-02-03,91230.2399999977
2023-02-06,91230.2399999977
2023-02-07,91230.2399999977
2023-02-08,91230.2399999977
2023-02-09,91230.2399999977
