datetime,IM.CFFEX
2022-07-25,0.0
2022-07-26,-17042.36800000025
2022-07-27,-20962.36800000051
2022-07-28,-29642.36800000025
2022-07-29,-33562.368000000504
2022-08-01,-23762.36799999923
2022-08-02,-32162.36800000051
2022-08-03,-35242.368000000264
2022-08-04,-25722.36800000001
2022-08-05,-17882.368000000766
2022-08-08,-21242.36800000027
2022-08-09,-17042.36800000027
2022-08-10,-17882.36800000078
2022-08-11,-14242.368000000286
2022-08-12,-19562.368000000533
2022-08-15,-22362.368000000533
2022-08-16,-25442.36800000027
2022-08-17,-25524.21200000078
2022-08-18,-25524.21200000078
2022-08-19,-25524.21200000078
2022-08-22,-31068.572000001655
2022-08-23,-22428.572000000782
2022-08-24,-17388.572000001015
2022-08-25,-16908.57200000145
2022-08-26,-18588.572000001015
2022-08-29,-19548.572000001233
2022-08-30,-14748.572000001233
2022-08-31,-22668.5720000017
2022-09-01,-20268.572000000608
2022-09-02,-18108.57200000148
2022-09-05,-25788.572000001044
2022-09-06,-26268.572000000608
2022-09-07,-22908.57200000148
2022-09-08,-20748.572000001262
2022-09-09,-32748.572000001262
2022-09-13,-23868.5720000017
2022-09-14,-19548.572000001262
2022-09-15,8531.427999998272
2022-09-16,92531.42799999827
2022-09-19,120513.70399999773
2022-09-20,133393.70399999875
2022-09-21,133113.703999999
2022-09-22,112113.70399999901
2022-09-23,93073.70399999723
2022-09-26,86353.70399999825
2022-09-27,90273.70399999851
2022-09-28,64793.70399999875
2022-09-29,68433.70399999799
2022-09-30,66753.70399999825
2022-10-10,79353.70399999825
2022-10-11,82993.7039999975
2022-10-12,85233.70399999802
2022-10-13,84393.7039999975
2022-10-14,79913.70399999776
2022-10-17,74593.70399999878
2022-10-18,94473.70399999851
2022-10-19,91113.70399999776
2022-10-20,86245.45599999801
2022-10-21,86245.45599999801
2022-10-24,86245.45599999801
2022-10-25,61518.23599999852
2022-10-26,54238.23599999878
2022-10-27,47798.23599999827
2022-10-28,40798.23599999827
2022-10-31,55918.23599999852
2022-11-01,56198.23599999826
2022-11-02,45838.2359999975
2022-11-03,48078.23599999801
2022-11-04,46118.235999998506
2022-11-07,39958.23599999774
2022-11-08,41918.235999998506
2022-11-09,27918.235999998506
2022-11-10,32398.235999998244
2022-11-11,25398.235999998244
2022-11-14,55736.487999998244
2022-11-15,49971.70799999798
2022-11-16,47803.723999998234
2022-11-17,33626.25999999798
2022-11-18,22146.259999998227
2022-11-21,18786.259999998736
2022-11-22,43146.25999999821
2022-11-23,42306.2599999977
2022-11-24,51546.25999999821
2022-11-25,49026.259999997965
2022-11-28,52946.25999999822
2022-11-29,41466.25999999848
2022-11-30,54906.25999999899
2022-12-01,41746.25999999822
2022-12-02,39786.25999999873
2022-12-05,47906.25999999771
2022-12-06,54906.25999999898
2022-12-07,53786.259999997455
2022-12-08,62186.25999999873
2022-12-09,71146.25999999822
2022-12-12,58266.259999998474
2022-12-13,51266.25999999847
2022-12-14,44105.25999999822
2022-12-15,44105.25999999822
2022-12-16,44105.25999999822
2022-12-19,44105.25999999822
2022-12-20,34479.36399999771
2022-12-21,27665.339999997224
2022-12-22,11339.547999996452
2022-12-23,19459.547999996706
2022-12-26,9659.547999996706
2022-12-27,19739.547999996452
2022-12-28,11059.547999996706
2022-12-29,13859.547999996706
2022-12-30,21419.54799999747
2023-01-03,41579.54799999695
2023-01-04,43539.54799999644
2023-01-05,47739.54799999644
2023-01-06,41859.54799999669
2023-01-09,27440.779999996692
2023-01-10,8822.599999996692
2023-01-11,16800.359999996694
2023-01-12,16800.359999996694
2023-01-13,16800.359999996694
2023-01-16,16800.359999996694
2023-01-17,16800.359999996694
2023-01-18,16800.359999996694
2023-01-19,16800.359999996694
2023-01-20,16800.359999996694
2023-01-30,16800.359999996694
2023-01-31,16800.359999996694
2023-02-01,16800.359999996694
2023-02-02,12350.87999999644
2023-02-03,24670.879999996694
2023-02-06,26630.879999996185
2023-02-07,19350.87999999644
2023-02-08,15710.87999999721
2023-02-09,4510.879999997211
2023-02-10,6190.879999996963
2023-02-13,9550.87999999644
2023-02-14,7030.879999997458
2023-02-15,15710.87999999593
2023-02-16,9550.879999996454
2023-02-17,4230.879999997473
2023-02-20,30270.8799999967
2023-02-21,18230.879999996192
2023-02-22,34750.87999999645
2023-02-23,28310.87999999721
2023-02-24,26350.87999999772
2023-02-27,34470.8799999967
2023-02-28,28030.879999996178
2023-03-01,21870.879999996687
2023-03-02,20470.879999996687
2023-03-03,18230.879999996178
2023-03-06,28310.879999995923
2023-03-07,18510.879999997203
2023-03-08,24670.879999996694
2023-03-09,28030.879999997458
2023-03-10,19910.87999999593
2023-03-13,25790.87999999695
2023-03-14,20470.879999996687
2023-03-15,10950.879999996432
2023-03-16,11306.871999996954
2023-03-17,11306.871999996954
2023-03-20,11306.871999996954
2023-03-21,11306.871999996954
2023-03-22,11306.871999996954
2023-03-23,11306.871999996954
2023-03-24,11306.871999996954
2023-03-27,11306.871999996954
2023-03-28,11306.871999996954
2023-03-29,11306.871999996954
2023-03-30,11306.871999996954
2023-03-31,11306.871999996954
2023-04-03,11306.871999996954
2023-04-04,11306.871999996954
2023-04-06,11306.871999996954
2023-04-07,11306.871999996954
2023-04-10,11306.871999996954
2023-04-11,11306.871999996954
2023-04-12,11306.871999996954
2023-04-13,11306.871999996954
2023-04-14,11306.871999996954
2023-04-17,11306.871999996954
2023-04-18,11306.871999996954
2023-04-19,11306.871999996954
2023-04-20,11306.871999996954
2023-04-21,11306.871999996954
2023-04-24,11306.871999996954
2023-04-25,11306.871999996954
2023-04-26,11306.871999996954
2023-04-27,11306.871999996954
