date,near,far,near_lots,far_lots,near_px,far_px,spread_pct,vol20,daily_pnl,cum_pnl,equity,spread_percentile,carry_annual
2026-07-20,IC2609.CFFEX,IC2612.CFFEX,2,-2,7302.2,7124.8,0.0242940483689846,0.3504771585969086,0.0,0.0,5000000.0,,
2026-07-21,IC2609.CFFEX,IC2612.CFFEX,2,-2,7685.8,7517.2,0.0219365583283458,0.4080512405024201,-3519.999999999709,-3519.999999999709,4996480.0,,
2026-07-22,IC2609.CFFEX,IC2612.CFFEX,2,-2,7611.0,7426.8,0.0242018131651556,0.4012138672207644,6239.999999999782,2720.0000000000728,5002720.0,,
2026-07-23,IC2609.CFFEX,IC2612.CFFEX,2,-2,7602.6,7420.0,0.0240180990713703,0.395541169001824,-639.9999999997817,2080.000000000291,5002080.0,,
2026-07-24,IC2609.CFFEX,IC2612.CFFEX,2,-2,7416.0,7234.8,0.0244336569579287,0.3952893741594259,-560.0000000002183,1520.0000000000728,5001520.0,,
2026-07-27,IC2609.CFFEX,IC2612.CFFEX,2,-2,7647.0,7472.0,0.0228847914214724,0.4110301617292939,-2479.9999999999272,-959.9999999998544,4999040.0,,
2026-07-28,IC2609.CFFEX,IC2612.CFFEX,2,-2,7352.4,7180.0,0.0234481257820575,0.4064920252707209,-1040.0000000001455,-2000.0,4998000.0,,
2026-07-29,IC2609.CFFEX,IC2612.CFFEX,2,-2,7454.2,7296.0,0.0212229347213651,0.4129800484133563,-5679.999999999927,-7679.999999999927,4992320.0,,
2026-07-30,IC2609.CFFEX,IC2612.CFFEX,2,-2,7245.6,7090.6,0.0213922932538368,0.4123386075810006,-1279.9999999999272,-8959.999999999854,4991040.0,0.548,0.0858042531609937
2026-07-31,IC2609.CFFEX,IC2612.CFFEX,2,-2,7395.0,7244.0,0.020419202163624,0.4212903846409174,-1600.0,-10559.999999999854,4989440.0,0.472,0.0819011954914591
2026-08-03,IC2609.CFFEX,IC2612.CFFEX,2,-2,7356.0,7212.6,0.0194942903752038,0.4215178933482817,-3040.000000000145,-13600.0,4986400.0,0.448,0.0781913844719715
2026-08-04,IC2609.CFFEX,IC2612.CFFEX,2,-2,7529.0,7384.8,0.0191526099083543,0.4330779463767172,320.0000000000728,-13279.999999999927,4986720.0,0.436,0.0768209078741685
2026-08-05,IC2609.CFFEX,IC2612.CFFEX,2,-2,7744.4,7597.0,0.019033107794018858,0.44824554310383935,1279.9999999999272,-12000.0,4988000.0,0.432,0.07634158620677893
