factor_name,full_annual_return,full_sharpe_ratio,full_max_drawdown,full_calmar_ratio,full_win_rate,full_final_nav,annual_return,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,return_diff,sharpe_diff,dd_diff
abs_amivest_889,0.024136950016130143,0.30552263047401595,-0.001698349109675423,14.21200734208471,0.5086705202312138,1.1215463283,-2.868752434889262,-0.6267153590130184,-1.0017904343744652,-2.863625301713486,0.4719471947194719,2.8928893849053923,0.9322379894870344,1.0000920852647899
abs_amivest,0.021827680613093037,0.32811926960277654,-0.001450127589223327,15.052248350632174,0.5309661436829067,1.10943559255,-1.9315167350339373,-0.4400675517944696,-1.0066276242563048,-1.9187996519178967,0.4785478547854785,1.9533444156470303,0.7681868213972461,1.0051774966670814
amivest_889,-0.03335703940205614,-0.2184714394705624,-0.003223468044186963,-10.348183678200416,0.4715111478117259,0.8494482415499996,-1.783141521840824,-0.4874460741869394,-1.0491234231398392,-1.699648947408113,0.4653465346534653,1.7497844824387678,0.268974634716377,1.0458999550956523
amivest,0.019920378027160623,0.2357513632597904,-0.0018547703835450598,10.740077695809658,0.5037159372419489,1.09951124435,-1.9687169361493813,-0.4322077971456994,-1.0580243114277137,-1.8607482974495797,0.4818481848184818,1.9886373141765419,0.6679591604054897,1.0561695410441687
aroon_osc_889,-0.021402965573497856,-0.16470990597655444,-0.003443004856775136,-6.216362295098468,0.48142031379025596,0.9011751569499995,1.138083032488911,0.3887380223186457,-0.9361168278118578,1.2157489307708982,0.4678217821782178,-1.1594859980624088,-0.5534479282952001,0.9326738229550826
aroon_osc,-0.02267418592859316,-0.17963922305424215,-0.0033333512252627278,-6.802219267129892,0.49050371593724196,0.8955588139500001,0.5883438693929887,0.2953125861814976,-0.937514338297915,0.6275571960436833,0.4727722772277227,-0.6110180553215818,-0.47495180923573976,0.9341809870726523
basic_volatility_889,0.02696801540774274,0.31482879825589344,-0.001767937433086787,15.253942194468427,0.48637489677952106,1.1365361960000004,-0.0029096530448193,-0.0010708625951657,-1.004773507639515,-0.0028958297792454,0.4702970297029702,0.02987766845256204,0.31589966085105914,1.0030055702064282
basic_volatility,-0.0582644887461814,-0.2834676875315335,-0.004533025504067127,-12.853333539355836,0.48554913294797686,0.7492222235499999,0.1252359905826303,0.0983024558934776,-1.031368712010141,0.1214269825371617,0.4991749174917492,-0.1835004793288117,-0.3817701434250111,1.0268356865060737
bias_indicator_889,-0.02861741737023782,-0.12142667273445625,-0.0033996276035780496,-8.417809450693506,0.4913294797687861,0.8696678309,-0.5334294332439005,-0.4683052783504773,-1.1450842187015813,-0.4658429699160116,0.4843234323432343,0.5048120158736626,0.3468786056160211,1.1416845910980031
bias_indicator,0.02699577677911047,0.2554419366810547,-0.002649240076632316,10.190007699652194,0.5136251032204789,1.13668396785,-0.7331104890527506,-0.3784847681798162,-1.0086143095276434,-0.7268491851915948,0.509075907590759,0.760106265831861,0.6339267048608709,1.0059650694510112
carry_momentum_889,0.08050404137352385,1.1772178741985038,-0.0008937936869627731,90.07004921581739,0.5251857968620974,1.4511989325499997,0.9980824975048688,0.4629932951962076,-1.32509847151659,0.7532138319973702,0.5338283828382838,-0.9175784561313449,0.7142245790022962,1.3242046778296273
carry_momentum,0.042579966321515395,0.5103955458929961,-0.001903089395972356,22.374128305076166,0.5127993393889347,1.2220739103999998,1.4040738277272802,0.3958262714870856,-0.9927145615030442,1.4143781930642856,0.5148514851485149,-1.3614938614057648,0.11456927440591047,0.9908114721070718
carry_ret_889,0.03923757802477801,0.4882344001096979,-0.0016900448579782279,23.216885539782215,0.5169281585466556,1.2033457572000001,-0.8920031381276852,-0.5142204526938207,-1.0038207828625412,-0.8886079600623612,0.504950495049505,0.9312407161524632,1.0024548528035186,1.002130738004563
carry_ret,0.05655957522426913,0.6021258728326334,-0.001533406993425458,36.8849075729865,0.5293146160198183,1.3029228930000003,-0.4874656325732809,-0.2863525495910053,-1.002876688281276,-0.4860673682710649,0.5247524752475248,0.54402520779755,0.8884784224236387,1.0013432812878507
cashflow_889,0.03284425310033168,0.3092391112877378,-0.0024807584279694763,13.23960153879836,0.5070189925681255,1.1681561090500001,-2.56552168662842,-0.5114077593155558,-3.172812550376777,-0.8085954168089002,0.5016501650165016,2.5983659397287515,0.8206468706032937,3.1703317919488074
cashflow,0.038689135231802396,0.3483606580694775,-0.002520813800050679,15.347875051709325,0.49793559042113955,1.2002945448,-2.313339362879797,-0.4707621515613975,-1.676676073986988,-1.3797175249115827,0.495049504950495,2.3520284981115993,0.819122809630875,1.6741552601869372
cci_889,0.011858371149528146,0.15712367508171526,-0.003004490555748668,3.9468824845659207,0.5028901734104047,1.0583357300000005,-0.2006058091399781,-0.33720654202759,-0.93161176346763,-0.2153319837796879,0.4975247524752475,0.21246418028950625,0.49433021710930525,0.9286072729118813
cci,0.013016789420232877,0.16566044121782356,-0.00320095360950508,4.066534854357195,0.5061932287365813,1.0641758024499999,-0.1787082570303642,-0.252301869293838,-1.0001174229147056,-0.178687275049707,0.509075907590759,0.19172504645059707,0.41796231051166155,0.9969164693052005
cf_rsi_889,-0.013397888060293406,-0.028096783626721113,-0.0037497719487259917,-3.572987435901381,0.49876135425268375,0.9371864604000002,-1.105823050035461,-0.5609198084805749,-1.2632788771984254,-0.8753594079621169,0.5057755775577558,1.0924251619751677,0.5328230248538538,1.2595291052496993
