total_pnl,total_return,annual_return,max_dd,sharpe,calmar,win_rate,profit_days,loss_days,days,mode,trades_count,dynamic_direction,buy_the_dip_mode,spread_lookback,spread_z_threshold,dip_entry_z,dip_exit_z,regime_lookback
886725.11,0.08867251079999972,0.023043791787941713,-0.014653194633229658,1.808853055987388,1.5726121412244365,0.5772532188841202,269,197,962,static,126,False,False,,,,,
800927.28,0.08009272840000015,0.020814118607068645,-0.014768708133660899,1.627519426390308,1.409339152666239,0.5708154506437768,266,200,962,dynamic,128,True,False,60.0,2.5,,,
94705.48,0.009470548000000134,0.00663203641456592,-0.004923435999999941,0.7333936717094788,1.3470341474055922,0.5483870967741935,17,14,357,buy_the_dip,12,False,True,20.0,,-1.5,-0.5,60.0
