total_pnl,total_return,annual_return,max_dd,sharpe,calmar,win_rate,profit_days,loss_days,days,mode,trades_count,dynamic_direction,buy_the_dip_mode,spread_lookback,spread_z_threshold,dip_entry_z,dip_exit_z,regime_lookback
886725.11,0.08867251079999972,0.023043791787941713,-0.014653194633229658,1.808853055987388,1.5726121412244365,0.5772532188841202,269,197,962,static,126,False,False,,,,,
-17568.64,-0.0017568643999995581,-0.0004565655925154777,-0.02287681474193319,-0.02010766923987857,-0.019957568291996228,0.5427350427350427,254,214,962,dynamic,218,True,False,20.0,1.0,,,
260332.92,0.026033291999999486,0.00676540852390839,-0.022984761280117717,0.4109896457192609,0.294343214682878,0.5546038543897216,259,208,962,dynamic,212,True,False,20.0,1.5,,,
899263.15,0.08992631520000005,0.023369624532224548,-0.01638086860499015,1.6200178139313404,1.4266413519186272,0.592274678111588,276,190,962,dynamic,178,True,False,20.0,2.0,,,
616750.11,0.06167501119999974,0.016027809563409493,-0.015106748014062667,1.2018168185493652,1.0609702067241356,0.575107296137339,268,198,962,dynamic,140,True,False,20.0,2.5,,,
21288.91,0.002128890800000116,0.0005532460498960801,-0.02925489886084759,0.04413231281151674,0.018911227570042988,0.5021459227467812,234,232,962,dynamic,170,True,False,40.0,1.0,,,
400995.23,0.04009952320000032,0.010420874012474097,-0.016080674952396058,0.7897552314546972,0.6480371031267791,0.5289079229122056,247,220,962,dynamic,142,True,False,40.0,1.5,,,
610624.42,0.061062441600000295,0.015868617879417957,-0.01505785099664943,1.2169816788853207,1.0538434656412081,0.5600858369098712,261,205,962,dynamic,140,True,False,40.0,2.0,,,
659063.11,0.0659063108000002,0.0171274196465697,-0.014963754319461953,1.318942368479619,1.144593748394657,0.5643776824034334,263,203,962,dynamic,128,True,False,40.0,2.5,,,
-13287.24,-0.0013287239999996148,-0.00034530249480239466,-0.030089626987293887,-0.01707610702425971,-0.011475798452011634,0.51931330472103,242,224,962,dynamic,150,True,False,60.0,1.0,,,
862120.81,0.08621208079999998,0.022404386902286896,-0.0159230700991609,1.6256904763739455,1.4070393939588035,0.5579399141630901,260,206,962,dynamic,132,True,False,60.0,1.5,,,
755452.15,0.07554521480000043,0.019632332328482438,-0.014830674934501712,1.5061812388535492,1.3237652645740532,0.5622317596566524,262,204,962,dynamic,134,True,False,60.0,2.0,,,
800927.28,0.08009272840000015,0.020814118607068645,-0.014768708133660899,1.627519426390308,1.409339152666239,0.5708154506437768,266,200,962,dynamic,128,True,False,60.0,2.5,,,
87292.58,0.008729257600000206,0.006112925490196223,-0.004923435999999941,0.6752068995552801,1.2415974311834859,0.5454545454545454,18,15,357,buy_the_dip,12,False,True,20.0,,-1.0,-0.5,60.0
87292.58,0.008729257600000206,0.006112925490196223,-0.004923435999999941,0.6752068995552801,1.2415974311834859,0.5454545454545454,18,15,357,buy_the_dip,12,False,True,20.0,,-1.0,-0.5,90.0
87292.58,0.008729257600000206,0.006112925490196223,-0.004923435999999941,0.6752068995552801,1.2415974311834859,0.5454545454545454,18,15,357,buy_the_dip,12,False,True,20.0,,-1.0,-0.25,60.0
87292.58,0.008729257600000206,0.006112925490196223,-0.004923435999999941,0.6752068995552801,1.2415974311834859,0.5454545454545454,18,15,357,buy_the_dip,12,False,True,20.0,,-1.0,-0.25,90.0
66087.08,0.00660870800000013,0.004627946778711576,-0.004923435999999941,0.4824523981573028,0.9399831294062991,0.55,22,18,357,buy_the_dip,12,False,True,20.0,,-1.0,0.0,60.0
66087.08,0.00660870800000013,0.004627946778711576,-0.004923435999999941,0.4824523981573028,0.9399831294062991,0.55,22,18,357,buy_the_dip,12,False,True,20.0,,-1.0,0.0,90.0
94705.48,0.009470548000000134,0.00663203641456592,-0.004923435999999941,0.7333936717094788,1.3470341474055922,0.5483870967741935,17,14,357,buy_the_dip,12,False,True,20.0,,-1.5,-0.5,60.0
94705.48,0.009470548000000134,0.00663203641456592,-0.004923435999999941,0.7333936717094788,1.3470341474055922,0.5483870967741935,17,14,357,buy_the_dip,12,False,True,20.0,,-1.5,-0.5,90.0
94705.48,0.009470548000000134,0.00663203641456592,-0.004923435999999941,0.7333936717094788,1.3470341474055922,0.5483870967741935,17,14,357,buy_the_dip,12,False,True,20.0,,-1.5,-0.25,60.0
94705.48,0.009470548000000134,0.00663203641456592,-0.004923435999999941,0.7333936717094788,1.3470341474055922,0.5483870967741935,17,14,357,buy_the_dip,12,False,True,20.0,,-1.5,-0.25,90.0
73499.98,0.007349998400000057,0.005147057703081273,-0.004923435999999941,0.5367861751900417,1.0454198456284056,0.5526315789473685,21,17,357,buy_the_dip,12,False,True,20.0,,-1.5,0.0,60.0
73499.98,0.007349998400000057,0.005147057703081273,-0.004923435999999941,0.5367861751900417,1.0454198456284056,0.5526315789473685,21,17,357,buy_the_dip,12,False,True,20.0,,-1.5,0.0,90.0
-13047.44,-0.0013047439999998023,-0.0009136862745096655,-0.004923435999999941,-0.21665723918464674,-0.18557898884227936,0.48,12,13,357,buy_the_dip,8,False,True,20.0,,-2.0,-0.5,60.0
-13047.44,-0.0013047439999998023,-0.0009136862745096655,-0.004923435999999941,-0.21665723918464674,-0.18557898884227936,0.48,12,13,357,buy_the_dip,8,False,True,20.0,,-2.0,-0.5,90.0
-13047.44,-0.0013047439999998023,-0.0009136862745096655,-0.004923435999999941,-0.21665723918464674,-0.18557898884227936,0.48,12,13,357,buy_the_dip,8,False,True,20.0,,-2.0,-0.25,60.0
-13047.44,-0.0013047439999998023,-0.0009136862745096655,-0.004923435999999941,-0.21665723918464674,-0.18557898884227936,0.48,12,13,357,buy_the_dip,8,False,True,20.0,,-2.0,-0.25,90.0
-8038.48,-0.0008038479999996628,-0.0005629187675067667,-0.004923435999999941,-0.12188119609481496,-0.11433453537463947,0.48148148148148145,13,14,357,buy_the_dip,8,False,True,20.0,,-2.0,0.0,60.0
-8038.48,-0.0008038479999996628,-0.0005629187675067667,-0.004923435999999941,-0.12188119609481496,-0.11433453537463947,0.48148148148148145,13,14,357,buy_the_dip,8,False,True,20.0,,-2.0,0.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.0,-0.5,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.0,-0.5,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.0,-0.25,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.0,-0.25,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.0,0.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.0,0.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.5,-0.5,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.5,-0.5,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.5,-0.25,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.5,-0.25,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.5,0.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-1.5,0.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-2.0,-0.5,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-2.0,-0.5,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-2.0,-0.25,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-2.0,-0.25,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-2.0,0.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,40.0,,-2.0,0.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.0,-0.5,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.0,-0.5,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.0,-0.25,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.0,-0.25,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.0,0.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.0,0.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.5,-0.5,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.5,-0.5,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.5,-0.25,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.5,-0.25,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.5,0.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-1.5,0.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-2.0,-0.5,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-2.0,-0.5,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-2.0,-0.25,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-2.0,-0.25,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-2.0,0.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,962,buy_the_dip,0,False,True,60.0,,-2.0,0.0,90.0
